Target Table,Target Column,Target Data Type,Source Table,Source Column,Transformation / Business Rule,Surrogate Key Lookup,Notes
fact_flight_operations,flight_distance_miles,"DECIMAL(10,2)",slv_flight_operations,flight_distance_miles,Direct copy,-,
fact_flight_operations,block_hours,"DECIMAL(6,2)",slv_flight_operations,block_hours,Direct copy,-,
fact_flight_operations,cancelled_flag,BOOLEAN,slv_flight_operations,cancelled_flag,Direct copy,-,
fact_flight_operations,diverted_flag,BOOLEAN,slv_flight_operations,diverted_flag,Direct copy,-,
fact_flight_operations,source_system,VARCHAR(100),slv_flight_operations,source_system,Direct copy,-,
fact_flight_operations,dw_created_ts,TIMESTAMP,slv_flight_operations,created_ts,Set once on first Gold insert,-,
fact_flight_operations,dw_updated_ts,TIMESTAMP,slv_flight_operations,updated_ts,Refreshed as actuals arrive / on every load,-,Business rule: only rows where slv_flight_operations.dq_valid_flag = TRUE are loaded to Gold
fact_flight_events,event_key,BIGINT IDENTITY (PK),slv_flight_events,-,Surrogate key auto-generated on insert,Generated,
fact_flight_events,flight_key,BIGINT,slv_flight_events,flight_id,Resolve to flight_key (nullable),Lookup fact_flight_operations WHERE flight_id (via slv_flight_operations) matches,Nullable if parent flight not yet loaded
fact_flight_events,event_type_key,INTEGER,slv_flight_events,event_type_code,Resolve to event_type_key,Lookup dim_event_type WHERE event_type_code = slv.event_type_code (matched via Silver code),
fact_flight_events,date_key,INTEGER,slv_flight_events,event_timestamp,Format date portion of event_timestamp as YYYYMMDD,Lookup dim_date WHERE date = CAST(slv.event_timestamp AS DATE),
fact_flight_events,event_timestamp,TIMESTAMP,slv_flight_events,event_timestamp,Direct copy,-,
fact_flight_events,producer_system,VARCHAR(100),slv_flight_events,producer_system,Direct copy,-,
fact_flight_events,consumer_system,VARCHAR(100),slv_flight_events,consumer_system,Direct copy,-,
fact_flight_events,message_size_bytes,INTEGER,slv_flight_events,message_size_bytes,Direct copy,-,
fact_flight_events,event_count,INTEGER,slv_flight_events,event_count,Direct copy,-,
fact_flight_events,source_system,VARCHAR(100),slv_flight_events,source_system,Direct copy,-,
fact_flight_events,dw_created_ts,TIMESTAMP,slv_flight_events,created_ts,Set once on insert (append-only fact),-,
fact_flight_events,dw_updated_ts,TIMESTAMP,slv_flight_events,updated_ts,Same as dw_created_ts for append-only fact,-,
fact_aircraft_utilization,utilization_key,BIGINT IDENTITY (PK),slv_flight_operations + slv_aircraft_maintenance,-,Surrogate key auto-generated on insert,Generated,
fact_aircraft_utilization,date_key,INTEGER,slv_flight_operations + slv_aircraft_maintenance,flight_date / maintenance date,Aggregation grain = calendar date,Lookup dim_date,
fact_aircraft_utilization,aircraft_key,INTEGER,slv_flight_operations + slv_aircraft_maintenance,tail_number,Resolve to the aircraft version current on date_key,"Lookup dim_aircraft (SCD2 point-in-time, as in fact_flight_operations)",
fact_aircraft_utilization,operator_airline_key,INTEGER,slv_aircraft,operator_airline_code,Resolve to airline_key for the operator on date_key,Lookup dim_airline WHERE airline_code = slv_aircraft.operator_airline_code (via dim_aircraft version),
fact_aircraft_utilization,flight_count,INTEGER,slv_flight_operations,flight_id,"COUNT(*) GROUP BY tail_number, flight_date",-,Business rule: aggregation
fact_aircraft_utilization,utilization_hours,"DECIMAL(10,2)",slv_flight_operations,block_hours,"SUM(block_hours) GROUP BY tail_number, flight_date",-,Business rule: aggregation
fact_aircraft_utilization,maintenance_hours,"DECIMAL(10,2)",slv_aircraft_maintenance,downtime_hours,"SUM(downtime_hours) GROUP BY tail_number, date",-,"Business rule: aggregation. downtime_hours itself is now header-derived (close_ts - open_ts) in Silver, not a passthrough"
fact_aircraft_utilization,ground_hours,"DECIMAL(10,2)",slv_flight_operations + slv_aircraft_maintenance,(derived),"Business rule: non-flying, non-maintenance ground time = turnaround/idle time between flights",-,Computed as a residual alongside available_hours -- see available_hours rule
fact_aircraft_utilization,available_hours,"DECIMAL(10,2)",slv_flight_operations + slv_aircraft_maintenance,(derived),Business rule: 24 - utilization_hours - maintenance_hours - ground_hours (reconciliation check: the four components must sum to 24),-,NEW column added in Gold v2
fact_aircraft_utilization,total_labor_hours,"DECIMAL(10,2)",slv_aircraft_maintenance,total_labor_hours,"SUM(total_labor_hours) GROUP BY tail_number, date",-,"NEW in Gold v2.1. Maintenance EFFORT metric, distinct from elapsed maintenance_hours -- multiple techs work in parallel so this can exceed maintenance_hours"
fact_aircraft_utilization,total_parts_used,INTEGER,slv_aircraft_maintenance,parts_count,"SUM(parts_count) GROUP BY tail_number, date",-,NEW in Gold v2.1
fact_aircraft_utilization,total_discrepancies,INTEGER,slv_aircraft_maintenance,discrepancy_count,"SUM(discrepancy_count) GROUP BY tail_number, date",-,NEW in Gold v2.1
fact_aircraft_utilization,average_delay_minutes,"DECIMAL(10,2)",slv_flight_operations,delay_minutes,"AVG(delay_minutes) GROUP BY tail_number, flight_date",-,Business rule: aggregation
fact_aircraft_utilization,source_system,VARCHAR(100),slv_flight_operations + slv_aircraft_maintenance,source_system,Concatenate contributing source systems,-,
fact_aircraft_utilization,dw_created_ts,TIMESTAMP,slv_flight_operations + slv_aircraft_maintenance,-,Set once per batch run,-,
fact_aircraft_utilization,dw_updated_ts,TIMESTAMP,slv_flight_operations + slv_aircraft_maintenance,-,Refreshed on each daily aggregation re-run,-,
fact_route_performance,route_perf_key,BIGINT IDENTITY (PK),slv_flight_operations,-,Surrogate key auto-generated on insert,Generated,
fact_route_performance,date_key,INTEGER,slv_flight_operations,flight_date,Aggregation grain = calendar date,Lookup dim_date,
fact_route_performance,route_key,INTEGER,slv_flight_operations,route_id,Aggregation grain = route,Lookup dim_route WHERE route_id = slv.route_id,
fact_route_performance,flight_count,INTEGER,slv_flight_operations,flight_id,"COUNT(*) GROUP BY route_id, flight_date",-,Business rule: aggregation
fact_route_performance,delay_count,INTEGER,slv_flight_operations,delay_minutes,"COUNT(*) WHERE delay_minutes > 15, GROUP BY route_id, flight_date",-,Business rule: on-time performance threshold = 15 minutes
fact_route_performance,cancel_count,INTEGER,slv_flight_operations,cancelled_flag,"COUNT(*) WHERE cancelled_flag = TRUE, GROUP BY route_id, flight_date",-,Business rule: aggregation
fact_route_performance,avg_delay_minutes,"DECIMAL(10,2)",slv_flight_operations,delay_minutes,"AVG(delay_minutes) GROUP BY route_id, flight_date",-,Business rule: aggregation
fact_route_performance,otp_percentage,"DECIMAL(5,2)",slv_flight_operations,"flight_count, delay_count",Business rule: (flight_count - delay_count) / flight_count * 100,-,On-time performance %; on-time defined as delay <= 15 minutes and not cancelled
fact_route_performance,source_system,VARCHAR(100),slv_flight_operations,source_system,Direct copy,-,
fact_route_performance,dw_created_ts,TIMESTAMP,slv_flight_operations,-,Set once per batch run,-,
fact_route_performance,dw_updated_ts,TIMESTAMP,slv_flight_operations,-,Refreshed on each daily aggregation re-run,-,
fact_flight_history,history_key,BIGINT IDENTITY (PK),slv_flight_history,-,Surrogate key auto-generated on insert,Generated,
fact_flight_history,flight_key,BIGINT,slv_flight_history,history_id,Resolve to flight_key where the operational record still exists (nullable),Lookup fact_flight_operations via matching carrier/route/date; NULL if not found,Nullable for older archive-only records
fact_flight_history,airline_key,INTEGER,slv_flight_history,carrier_code,Resolve to airline_key,Lookup dim_airline WHERE airline_code = slv.carrier_code,"Intentionally denormalized -- stored directly, not derived via flight_key"
fact_flight_history,route_key,INTEGER,slv_flight_history,route_id,Resolve to route_key,Lookup dim_route WHERE route_id = slv.route_id,"Intentionally denormalized -- stored directly, not derived via flight_key"
fact_flight_history,date_key,INTEGER,slv_flight_history,flight_date,Format flight_date as YYYYMMDD,Lookup dim_date WHERE date = slv.flight_date,
fact_flight_history,delay_minutes,INTEGER,slv_flight_history,delay_minutes,Direct copy,-,
fact_flight_history,cancelled_flag,BOOLEAN,slv_flight_history,cancelled_flag,Direct copy,-,
fact_flight_history,load_factor,"DECIMAL(5,2)",slv_flight_history,load_factor,Direct copy,-,
fact_flight_history,data_source,VARCHAR(100),slv_flight_history,data_source,Direct copy,-,
fact_flight_history,dw_created_ts,TIMESTAMP,slv_flight_history,created_ts,Set once on first Gold insert,-,
fact_flight_history,dw_updated_ts,TIMESTAMP,slv_flight_history,updated_ts,Refreshed on every load,-,
fact_product_subscriptions,subscription_key,BIGINT IDENTITY (PK),slv_subscription,-,Surrogate key auto-generated on insert,Generated,
fact_product_subscriptions,customer_key,INTEGER,slv_subscription,customer_id,Resolve to customer_key,Lookup dim_customer WHERE customer_id (matched via Silver natural key),
fact_product_subscriptions,product_key,INTEGER,slv_subscription,product_code,Resolve to product_key,Lookup dim_data_product WHERE product_code (matched via Silver natural key),
fact_product_subscriptions,start_date,DATE,slv_subscription,start_date,Direct copy,-,
fact_product_subscriptions,end_date,DATE,slv_subscription,end_date,Direct copy,-,
fact_product_subscriptions,subscription_tier,VARCHAR(50),slv_subscription,subscription_tier,Direct copy,-,
fact_product_subscriptions,subscription_status,VARCHAR(50),slv_subscription,subscription_status,Direct copy,-,
fact_product_subscriptions,source_system,VARCHAR(100),slv_subscription,source_system,Direct copy,-,
fact_product_subscriptions,dw_created_ts,TIMESTAMP,slv_subscription,created_ts,Set once on first Gold insert,-,
fact_product_subscriptions,dw_updated_ts,TIMESTAMP,slv_subscription,updated_ts,Refreshed on every MERGE,-,
